[run number],1,2,3,4,5,6,7,8,9,10
max-patience,30,30,30,30,30,30,30,30,30,30
acceleration,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
number-of-cars,20,20,30,30,40,40,50,50,60,60
deceleration,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
[final],13690.24225,13257.30618,12643.61405,15867.9508,6937.642,8819.998866,2553.598,2781.44,718.524,763.4165261
[min],0,0,0,0,0,0,0,0,0,0
[max],13690.24225,13257.30618,12643.61405,15867.9508,6937.642,8819.998866,2553.598,2781.44,718.524,763.4165261
[mean],6765.056278,6551.363626,6412.175706,7817.241685,3410.577994,4364.071917,1267.681306,1363.464017,360.4680832,397.9342799
[steps],24918,24500,31373,41836,35849,44258,20614,21895,9323,9752
,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,0,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,0
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,12.014,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,10.92,0,0,0,26.76,0,0,44.64643151
,0,0,43.934,0,0,0,26.76,0,0,44.64643151
,0,0,43.934,0,0,0,26.76,0,0,44.64643151
,0,0,43.934,0,0,0,26.76,0,0,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,0,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,40.506,0,26.76,0,20.108,44.64643151
,0,0,43.934,0,40.506,0,26.76,0,20.108,44.64643151
