[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
decision,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4
acceleration,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
max-patience,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
number-of-cars,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
deceleration,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
[final],3308.31941,2361.925041,2659.754058,2612.379873,3004.351813,2761.471407,5023.836772,3756.990072,3687.866408,3457.866269,1750.936268,1723.572607,1524.403515,1521.226368,1985.190774,3780.742769,4035.336838,4573.825316,3572.192134,4062.778614
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[max],3308.31941,2362.989041,2659.754058,2612.379873,3004.351813,2761.471407,5023.836772,3756.990072,3687.866408,3457.866269,1750.936268,1723.572607,1524.403515,1521.226368,1985.190774,3780.742769,4035.336838,4573.825316,3572.192134,4062.778614
[mean],1625.550521,1165.034991,1284.987156,1282.789439,1432.465214,1387.588834,2429.96396,1886.714913,1872.612329,1648.856261,889.4426231,836.6880241,672.9927029,755.1201134,955.97863,1872.46622,1940.299586,2245.527328,1676.42185,1910.273281
[steps],12706,10357,9908,10289,10313,12275,18720,14501,15025,13846,9435,10665,6861,8990,8778,16378,15739,18904,15129,16519
,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,0,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,31.564,5.47,0,0,43.836,0,0,0,0,0,0,0,0,0,0,0
